date,base_rate,cpi,m2,hh_loan,corp_bond,gov_bond,credit_spread,hh_loan_yoy
2000-07-01,5.0,62.962,,,,,,
2000-08-01,5.0,63.277,,,,,,
2000-09-01,5.0,64.098,,,,,,
2000-10-01,5.25,64.035,,,,,,
2000-11-01,5.25,63.656,,,,,,
2000-12-01,5.25,63.908,,,,,,
2001-01-01,5.25,64.604,,,,,,
2001-02-01,5.0,64.919,,,,,,
2001-03-01,5.0,65.488,,,,,,
2001-04-01,5.0,65.74,,,,,,
2001-05-01,5.0,65.677,,,,,,
2001-06-01,5.0,65.866,,,,,,
2001-07-01,4.75,65.992,,,,,,
2001-08-01,4.5,66.245,,,,,,
2001-09-01,4.0,66.182,,,,,,
2001-10-01,4.0,66.182,,,,,,
2001-11-01,4.0,65.804,,,,,,
2001-12-01,4.0,65.93,,,,,,
2002-01-01,4.0,66.308,,,,,,
2002-02-01,4.0,66.624,,,,,,
2002-03-01,4.0,67.003,,,,,,
2002-04-01,4.0,67.382,,,,,,
2002-05-01,4.25,67.634,,,,,,
2002-06-01,4.25,67.571,,,,,,
2002-07-01,4.25,67.382,,,,,,
2002-08-01,4.25,67.824,,,,,,
2002-09-01,4.25,68.204,,,,,,
2002-10-01,4.25,68.013,,,,,,
2002-11-01,4.25,68.077,,,,,,
2002-12-01,4.25,68.391,,,,,,
2003-01-01,4.25,68.835,,,,,,
2003-02-01,4.25,69.213,,,,,,
2003-03-01,4.25,70.034,,,,,,
2003-04-01,4.25,69.908,,,,,,
2003-05-01,4.0,69.782,,,,,,
2003-06-01,4.0,69.592,,,,,,
2003-07-01,3.75,69.53,,,,,,
2003-08-01,3.75,69.845,,,,,,
2003-09-01,3.75,70.477,,,,,,
2003-10-01,3.75,70.539,829477.3,317095.4,3.97,,,
