date,kospi,usdkrw,sp500,vix,kospi_vol_20d,kospi_vol_60d,usdkrw_vol_20d,usdkrw_vol_60d,bis_ratio
2002-09-01,646.4199829101562,,815.280029296875,39.689998626708984,0.27932412975936954,,,,
2002-10-01,658.9199829101562,,885.760009765625,31.139999389648438,,,,,
2002-11-01,724.7999877929688,,936.3099975585938,27.5,0.33162903901322666,,,,
2002-12-01,627.5499877929688,,879.8200073242188,28.6200008392334,0.2210909148574513,,,,
2003-01-01,591.8599853515625,,855.7000122070312,31.170000076293945,0.3106253059746341,,,,
2003-02-01,575.4299926757812,,841.1500244140625,29.6299991607666,,,,,
2003-03-01,535.7000122070312,,848.1799926757812,29.149999618530273,0.33296444077289944,,,,
2003-04-01,599.3499755859375,,916.9199829101562,21.209999084472656,0.36520947690680605,0.34475047300988404,,,
2003-05-01,633.4199829101562,,963.5900268554688,19.469999313354492,,,,,
2003-06-01,669.9299926757812,,974.5,19.520000457763672,,,,,
2003-07-01,713.52001953125,,990.3099975585938,19.489999771118164,0.191604510859939,,,,
2003-08-01,759.469970703125,,1008.010009765625,18.6299991607666,,,,,
2003-09-01,697.52001953125,,995.969970703125,22.719999313354492,,,,,
2003-10-01,782.3599853515625,,1050.7099609375,16.100000381469727,,,,,
2003-11-01,796.1799926757812,,1058.199951171875,16.31999969482422,0.233059487173331,,,,
2003-12-01,810.7100219726562,1189.9000244140625,1111.9200439453125,18.309999465942383,0.2324692196533096,,0.07737810695309133,,
2004-01-01,848.5,1160.0,1131.1300048828125,16.6299991607666,,,0.12089452096138888,,
2004-02-01,883.4199829101562,1172.800048828125,1144.93994140625,14.550000190734863,0.1394188378398367,,0.1296519144403029,0.1211624124230469,
2004-03-01,880.5,1166.300048828125,1126.2099609375,16.739999771118164,0.20077580003222814,,0.17150703975597187,0.14208373813960473,
2004-04-01,862.8400268554688,1162.699951171875,1107.300048828125,17.190000534057617,0.19598975246983308,,0.2002995080285084,0.16993492700389468,
2004-05-01,803.8400268554688,1159.4000244140625,1120.6800537109375,15.5,,,0.14854492969900387,0.1758598863832667,
2004-06-01,785.7899780273438,1155.699951171875,1140.8399658203125,14.34000015258789,0.34393050537419173,,0.0809834249066061,0.14921155136354486,
2004-07-01,735.3400268554688,1170.0999755859375,1101.719970703125,15.319999694824219,0.24844586686362266,,0.06419085736533302,0.09819441015155599,
2004-08-01,803.5700073242188,1150.5999755859375,1104.239990234375,15.289999961853027,0.191455008766041,0.24506767110469768,0.0574662763220588,0.06409897317968592,
2004-09-01,835.0900268554688,1150.800048828125,1114.5799560546875,13.34000015258789,0.1392135364423135,0.1962774852047705,0.039726166374941196,0.053448771522495823,
2004-10-01,834.8400268554688,1106.300048828125,1130.199951171875,16.270000457763672,0.2701003458527911,,0.131534487386416,0.08534990611261374,
2004-11-01,878.0599975585938,1047.5999755859375,1173.8199462890625,13.239999771118164,0.22303289564276654,,0.23333305136183835,,
2004-12-01,895.9199829101562,1002.5999755859375,1211.9200439453125,13.289999961853027,0.18232930204611603,0.20188063517143753,0.14960402380445884,,
