date,base_rate,cpi,m2,hh_loan,corp_bond,gov_bond,credit_spread,hh_loan_yoy,kospi,usdkrw,sp500,vix,kospi_vol_20d,kospi_vol_60d,usdkrw_vol_20d,usdkrw_vol_60d,bis_ratio
2008-11-01,4.0,82.375,1265992.1,511993.9,4.47,,,8.313040262679184,1076.0699462890625,1467.9000244140625,896.239990234375,55.27999877929688,0.7955998193029814,,0.5790732375876657,0.5215937557421622,
2008-12-01,3.0,82.375,1283658.0,515264.0,3.99,,,8.683840180352265,1124.469970703125,1242.199951171875,903.25,40.0,0.5348415967069645,,0.2775560623982418,0.5009095949727793,
2009-01-01,2.5,82.45,1288178.8,511998.3,3.05,,,8.106174128797527,1162.1099853515625,1377.0999755859375,825.8800048828125,44.84000015258789,,,0.3385963229045311,0.3869906438047598,
2009-02-01,2.0,83.045,1304510.2,514789.4,2.59,,,7.940545090008921,1063.030029296875,1530.300048828125,735.0900268554688,46.34999847412109,0.3188839243154148,,0.1590441946763729,0.2755405759065378,
2009-03-01,2.0,83.64,1316686.7,516625.8,2.38,,,7.537489493450034,1206.260009765625,1375.0999755859375,797.8699951171875,44.13999938964844,0.3255336754701827,,0.2261481284641015,0.2523178838920737,
2009-04-01,2.0,83.862,1330069.7,518871.1,2.35,,,6.916958460375966,1369.3599853515625,1278.0999755859375,872.8099975585938,36.5,0.2779957524963855,0.3026832880199167,0.2846204271322378,0.2403117611661415,
2009-05-01,2.0,83.862,1340341.1,522217.3,2.33,,,6.657542595225774,1395.8900146484375,1250.0999755859375,919.1400146484376,28.920000076293945,,,0.2219998568712643,0.2534502003703249,
2009-06-01,2.0,83.788,1341285.4,527686.8,2.32,,,6.6133660582798015,1390.0699462890625,1272.5999755859375,919.3200073242188,26.350000381469727,0.2305510249550491,,0.1275249951955581,0.2158552406269296,
2009-07-01,2.0,84.086,1353392.0,532047.6,2.3,,,6.662010310807731,1557.2900390625,1223.0999755859375,987.47998046875,25.920000076293945,0.2030381116193433,0.2104913755739994,0.1169635118415233,0.1530501631337159,
2009-08-01,2.0,84.384,1377552.3,536675.5,2.28,,,6.805451764698867,1591.8499755859375,1249.5,1020.6199951171876,26.01000022888184,0.1628906209553221,0.199819474871149,0.1180812454661137,0.1186148900429924,
2009-09-01,2.0,84.459,1380854.0,537787.6,2.3,,,6.2024405796677895,1673.1400146484375,1173.699951171875,1057.0799560546875,25.61000061035156,0.1746361273190493,0.1794736510649577,0.1654520312179599,0.1377641358611194,
2009-10-01,2.0,84.235,1391513.1,541111.7,2.31,,,6.271659919187367,1580.68994140625,1185.5,1036.18994140625,30.690000534057617,0.1680355914530767,0.183593115103777,0.1745219192563037,0.1576946899900337,
2009-11-01,2.0,84.384,1403686.5,545793.5,2.33,,,6.601563026434487,1555.5999755859375,1160.5999755859375,1095.6300048828125,24.51000022888184,0.1885304932158919,,0.0864880460921376,0.147748657472661,
2009-12-01,2.0,84.682,1398449.1,549760.0,2.3,,,6.69482051919017,1682.77001953125,1151.0999755859375,1115.0999755859375,21.68000030517578,0.2233000045441771,,0.1218808301900991,0.126839606810325,
2010-01-01,2.0,85.351,1402555.5,548723.3,2.3,,,7.172875378687782,1602.4300537109375,1158.199951171875,1073.8699951171875,24.6200008392334,,,0.1390004382662319,0.1191532888230812,
2010-02-01,2.0,85.523,1426953.0,549462.9,2.3,,,6.735472797225439,1594.5799560546875,1161.4000244140625,1104.489990234375,19.5,0.1935561348842965,,0.1430615867244465,0.1355246686365408,
2010-03-01,2.0,85.696,1435041.9,553139.7,2.32,,,7.067765489063849,1692.8499755859375,1131.5999755859375,1169.4300537109375,17.59000015258789,0.1172836918387431,,0.0733995942392149,0.1213951803035343,
2010-04-01,2.0,86.041,1449250.7,556580.2,2.31,,,7.267527522731565,1741.56005859375,1107.9000244140625,1186.68994140625,22.049999237060547,0.1199570123857192,,0.1337900393618208,0.1160726397361148,
2010-05-01,2.0,86.128,1459344.5,562771.4,2.3,,,7.765751919746822,1641.25,1200.0,1089.4100341796875,32.06999969482422,0.1361853492303615,,0.2234719800346834,0.1597848582258026,
2010-06-01,2.0,86.041,1468650.6,566741.3,2.27,,,7.40107578965401,1698.2900390625,1227.199951171875,1030.7099609375,34.540000915527344,,,0.2921751638481278,0.24355076574592,
2010-07-01,2.25,86.214,1484229.9,569875.5,2.43,,,7.109871372411036,1759.3299560546875,1184.0999755859375,1101.5999755859375,23.5,0.1298028456024834,,0.159563543340145,0.2492979376260378,
2010-08-01,2.25,86.647,1485791.7,573315.8,2.49,,,6.827272718803079,1742.75,1193.0999755859375,1049.3299560546875,26.049999237060547,0.1278314272886853,0.1314146906685696,0.1229005268004065,0.1880531106786096,
2010-09-01,2.25,87.337,1491062.7,576424.7,2.53,,,7.184453490560205,1872.81005859375,1139.199951171875,1141.199951171875,23.700000762939453,0.1398125015487306,0.1309941773524719,0.0964237872545941,0.1265842015894101,
2010-10-01,2.25,87.337,1496933.9,581735.1,2.5,,,7.507396347186734,1882.949951171875,1132.4000244140625,1183.260009765625,21.200000762939453,0.1227520323211169,,0.1225016787224847,0.1123407883546299,
2010-11-01,2.5,86.906,1510264.6,588076.5,2.59,,,7.74706917542991,1904.6300048828125,1163.0,1180.550048828125,23.540000915527344,0.1495154216022675,,0.1481904973911119,0.1253597523837087,
2010-12-01,2.5,87.251,1516163.6,593540.4,2.71,,,7.963547729918519,2051.0,1127.0999755859375,1257.6400146484375,17.75,0.1221777304236422,0.1299298897162575,0.1659497467133325,0.1518646685890164,
2011-01-01,2.75,88.288,1519652.1,593505.9,2.87,,,8.161235362157937,2069.72998046875,1117.4000244140625,1286.1199951171875,19.530000686645508,0.1224959487851281,,0.1493453915386335,0.1544468414381913,
2011-02-01,2.75,88.892,1525201.5,596531.9,2.95,,,8.566365445237523,1939.300048828125,1127.0999755859375,1327.219970703125,18.350000381469727,0.1195731847394536,,0.1276360136043909,0.1458850711708211,
2011-03-01,3.0,89.238,1530185.1,599373.8,3.13,,,8.358485207263211,2106.699951171875,1098.300048828125,1325.8299560546875,17.739999771118164,0.1773623603958233,,0.0868520072552657,0.1220278556499612,
2011-04-01,3.0,89.325,1538282.3,603754.6,3.18,,,8.475759647935742,2192.360107421875,1068.800048828125,1363.6099853515625,14.75,0.1346809105312577,,0.0884951674526766,0.107481578028969,
2011-05-01,3.0,89.497,1547876.0,609153.2,3.14,,,8.241676815843867,2142.469970703125,1075.300048828125,1345.199951171875,15.449999809265137,0.1544175690687463,,0.161085188234247,,
2011-06-01,3.25,89.67,1550782.3,614639.1,3.33,,,8.451439836835583,2100.68994140625,1068.9000244140625,1320.6400146484375,16.520000457763672,,,0.1350444374878591,,
2011-07-01,3.25,90.102,1556276.9,618984.7,3.36,,,8.617531373080611,2133.2099609375,1049.0,1292.280029296875,25.25,0.1559988176723198,,0.0983728243970673,0.1305081454648168,
2011-08-01,3.25,90.707,1569287.2,624049.2,3.35,,,8.84911945562985,1880.1099853515625,1071.800048828125,1218.8900146484375,31.6200008392334,0.234769158010191,,0.1761161202226961,0.1382342450844473,
